Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
MS-013,Calhoun County,63.18,101,9.59,53.59
MS-015,Carroll County,64.8,104,11.93,52.87
MS-017,Chickasaw County,63.77,103,10.35,53.42
MS-019,Choctaw County,61.65,97,7.89,53.76
MS-021,Claiborne County,61.83,98,6.96,54.87
MS-023,Clarke County,76.52,124,19.07,57.45
MS-025,Clay County,64.47,109,11.56,52.91
MS-027,Coahoma County,60.46,99,8.77,51.69
MS-029,Copiah County,69.18,112,13.66,55.52
MS-031,Covington County,80.59,125,23.29,57.3
MS-033,DeSoto County,55.73,83,4.22,51.51
MS-035,Forrest County,88.04,125,28.4,59.64
MS-037,Franklin County,86.14,125,27.65,58.49
MS-039,George County,87.55,125,23.94,63.61
MS-041,Greene County,84.34,125,23.12,61.22
MS-043,Grenada County,65.21,104,12.48,52.73
MS-045,Hancock County,97.84,126,35.72,62.12
MS-047,Harrison County,97.64,126,35.23,62.41
MS-049,Hinds County,62.43,101,9.53,52.9
MS-051,Holmes County,63.57,106,11.06,52.51
MS-053,Humphreys County,62.84,102,10.24,52.6
MS-055,Issaquena County,55.62,77,2.76,52.86
MS-057,Itawamba County,66.78,109,13.27,53.51
MS-059,Jackson County,92.25,126,29.62,62.63
MS-061,Jasper County,76.83,125,19.13,57.7
MS-063,Jefferson County,74.87,122,18.8,56.07
MS-065,Jefferson Davis County,80.55,124,22.5,58.05
MS-067,Jones County,84.37,125,26.33,58.04
MS-069,Kemper County,60.78,100,6.73,54.05
MS-071,Lafayette County,64.91,106,11.26,53.65
MS-073,Lamar County,87.37,125,27.45,59.92
MS-075,Lauderdale County,64.12,101,8.31,55.81
MS-077,Lawrence County,79.44,123,21.68,57.76
MS-079,Leake County,61.42,100,7.44,53.98
MS-081,Lee County,64.06,106,10.89,53.17
MS-083,Leflore County,64.1,103,11.77,52.33
MS-085,Lincoln County,83.28,125,24.86,58.42
MS-087,Lowndes County,70.28,118,17.53,52.75
MS-089,Madison County,61.02,100,8.76,52.26
MS-091,Marion County,86.68,125,26.72,59.96
MS-093,Marshall County,60.26,93,6.69,53.57
MS-095,Monroe County,66.35,108,12.54,53.81
MS-097,Montgomery County,63.9,101,10.91,52.99
MS-099,Neshoba County,62.03,100,7.17,54.86
MS-101,Newton County,67.29,111,11.17,56.12
MS-103,Noxubee County,68.71,117,16.83,51.88
MS-105,Oktibbeha County,66.01,110,13.48,52.53
MS-107,Panola County,64.93,107,11.44,53.49
MS-109,Pearl River County,92.62,126,31.02,61.6
MS-111,Perry County,88.55,126,27.85,60.7
MS-113,Pike County,88.05,125,26.79,61.26
MS-115,Pontotoc County,65.63,107,12.12,53.51
MS-117,Prentiss County,63.9,106,10.17,53.73
MS-119,Quitman County,65.06,108,12.5,52.56
MS-121,Rankin County,60.32,94,6.75,53.57
MS-123,Scott County,62.04,95,7.43,54.61
MS-125,Sharkey County,58.05,87,5.31,52.74
MS-127,Simpson County,65.37,105,9.26,56.11
MS-129,Smith County,68.78,111,12.17,56.61
MS-131,Stone County,95.37,126,32.75,62.62
MS-133,Sunflower County,64.3,102,11.57,52.73
MS-135,Tallahatchie County,66.03,104,13.18,52.85
MS-137,Tate County,59.29,95,6.96,52.33
MS-139,Tippah County,60.11,94,6.09,54.02
MS-141,Tishomingo County,69.74,115,15.77,53.97
MS-143,Tunica County,58.79,96,7.07,51.72
MS-145,Union County,63.53,104,9.87,53.66
MS-147,Walthall County,88.66,126,27.56,61.1
MS-149,Warren County,57.43,82,4.37,53.06
MS-151,Washington County,64.77,105,11.67,53.1
MS-153,Wayne County,85.75,126,26.85,58.9
MS-155,Webster County,61.07,97,7.96,53.11
MS-157,Wilkinson County,84.28,125,25.14,59.14
MS-159,Winston County,64.58,109,10.99,53.59
MS-161,Yalobusha County,67.15,109,12.95,54.2
MS-163,Yazoo County,61.44,100,9.1,52.34
MO-001,Adair County,45.78,106,8.73,37.05
MO-003,Andrew County,38.48,78,2.92,35.56
MO-005,Atchison County,33.2,60,-1.22,34.42
MO-007,Audrain County,45.62,100,7.51,38.11
MO-009,Barry County,52.12,105,7.72,44.4
MO-011,Barton County,50.19,108,9.47,40.72
MO-013,Bates County,49.9,113,9.71,40.19
MO-015,Benton County,45.85,86,4.57,41.28
MO-017,Bollinger County,49.63,90,4.55,45.08
MO-019,Boone County,49.01,113,10.55,38.46
MO-021,Buchanan County,39.68,86,3.84,35.84
MO-023,Butler County,50.79,86,3.63,47.16
MO-025,Caldwell County,40.72,86,3.92,36.8
MO-027,Callaway County,46.94,106,8.62,38.32
MO-029,Camden County,44.74,84,3.49,41.25
MO-031,Cape Girardeau County,45.58,69,1,44.58
MO-033,Carroll County,43.12,93,5.04,38.08
MO-035,Carter County,43.29,48,-1.8,45.09
MO-037,Cass County,45.76,97,6.17,39.59
MO-039,Cedar County,52.13,116,11.19,40.94
MO-041,Chariton County,40.95,81,2.41,38.54
MO-043,Christian County,48.91,98,5.75,43.16
MO-045,Clark County,45.25,111,9.66,35.59
MO-047,Clay County,37.88,68,0.89,36.99
MO-049,Clinton County,39.39,78,2.69,36.7
MO-051,Cole County,45.58,99,6.73,38.85
MO-053,Cooper County,45.95,101,7.15,38.8
MO-055,Crawford County,44.1,82,3.56,40.54
MO-057,Dade County,52.23,111,10.94,41.29
MO-059,Dallas County,52.36,113,10.65,41.71
MO-061,Daviess County,39.28,81,3.13,36.15
MO-063,DeKalb County,39.47,87,3.54,35.93
MO-065,Dent County,44.01,69,1.75,42.26
MO-067,Douglas County,48.18,87,4.78,43.4
MO-069,Dunklin County,49.18,73,1.24,47.94
MO-071,Franklin County,38.89,55,-0.46,39.35
MO-073,Gasconade County,39.73,63,0.65,39.08
MO-075,Gentry County,35.21,64,-0.26,35.47
MO-077,Greene County,51.74,112,9.82,41.92
MO-079,Grundy County,42.01,100,5.78,36.23
MO-081,Harrison County,38.24,80,2.79,35.45
MO-083,Henry County,46.53,96,5.94,40.59
MO-085,Hickory County,52.47,115,11.23,41.24
MO-087,Holt County,36.58,75,1.52,35.06
MO-089,Howard County,44.3,95,5.8,38.5
MO-091,Howell County,43.76,57,-1.07,44.83
MO-093,Iron County,49.7,90,5.59,44.11
MO-095,Jackson County,39.07,68,0.82,38.25
MO-097,Jasper County,48.29,100,6,42.29
MO-099,Jefferson County,42.26,77,2.53,39.73
MO-101,Johnson County,42.36,80,2.26,40.1
MO-103,Knox County,47.03,110,9.94,37.09
MO-105,Laclede County,47.86,94,5.78,42.08
MO-107,Lafayette County,42.26,85,3.41,38.85
MO-109,Lawrence County,52.77,109,9.83,42.94
MO-111,Lewis County,47,112,10.22,36.78
MO-113,Lincoln County,45.06,101,6.76,38.3
MO-115,Linn County,44.04,99,6.53,37.51
MO-117,Livingston County,43.04,102,6.48,36.56
MO-119,McDonald County,49.85,100,6.05,43.8
MO-121,Macon County,45.65,102,7.68,37.97
MO-123,Madison County,51.46,98,6.63,44.83
MO-125,Maries County,41.6,67,1.43,40.17
MO-127,Marion County,47.17,110,10.02,37.15
MO-129,Mercer County,42.56,102,6.61,35.95
MO-131,Miller County,41.49,67,1.11,40.38
MO-133,Mississippi County,49.33,84,2.76,46.57
MO-135,Moniteau County,47.06,102,7.93,39.13
MO-137,Monroe County,42.74,93,5.06,37.68
MO-139,Montgomery County,42.31,82,3.88,38.43
MO-141,Morgan County,43.67,81,3.09,40.58
MO-143,New Madrid County,50.66,85,3.18,47.48
MO-145,Newton County,48.8,92,5.55,43.25
MO-147,Nodaway County,34.85,65,-0.13,34.98
MO-149,Oregon County,42.89,44,-2.76,45.65
MO-151,Osage County,42.89,86,4.13,38.76
MO-153,Ozark County,48.76,96,5.78,42.98
MO-155,Pemiscot County,46.39,61,-1.18,47.57
MO-157,Perry County,48.79,95,5.7,43.09
MO-159,Pettis County,42.3,81,2.97,39.33
MO-161,Phelps County,41.5,63,0.88,40.62
MO-163,Pike County,48.63,114,10.47,38.16
MO-165,Platte County,39.69,84,3.94,35.75
MO-167,Polk County,54.33,118,13.32,41.01
MO-169,Pulaski County,41.56,56,0.21,41.35
MO-171,Putnam County,44.97,111,8.7,36.27
MO-173,Ralls County,43.38,95,5.94,37.44
MO-175,Randolph County,43.53,91,5.28,38.25
MO-177,Ray County,40.56,82,2.82,37.74
MO-179,Reynolds County,44.81,60,0.23,44.58
MO-181,Ripley County,46.29,58,-0.57,46.86
MO-183,St. Charles County,40.65,76,2.71,37.94
MO-185,St. Clair County,51.09,110,10.2,40.89
MO-186,Ste. Genevieve County,47.24,97,5.96,41.28
MO-187,St. Francois County,49.85,108,7.38,42.47
MO-189,St. Louis County,41.29,84,3.14,38.15
MO-195,Saline County,41.71,85,3.06,38.65
MO-197,Schuyler County,45.1,110,8.69,36.41
MO-199,Scotland County,44.6,107,8.34,36.26
MO-201,Scott County,46.15,66,0.55,45.6
MO-203,Shannon County,43.51,60,-0.62,44.13
MO-205,Shelby County,47.6,111,9.85,37.75
MO-207,Stoddard County,50.27,89,3.7,46.57
MO-209,Stone County,50.86,106,7.8,43.06
MO-211,Sullivan County,44.42,105,7.37,37.05
MO-213,Taney County,50.22,106,7.65,42.57
MO-215,Texas County,41.77,51,-1.37,43.14
MO-217,Vernon County,50.96,114,10.65,40.31
MO-219,Warren County,37.37,44,-2.12,39.49
MO-221,Washington County,49.2,105,8.2,41
MO-223,Wayne County,47.06,67,1.24,45.82
MO-225,Webster County,51.62,101,8.67,42.95
MO-227,Worth County,35.89,68,0.6,35.29
MO-229,Wright County,45.99,81,3.12,42.87
MO-510,St. Louis City,39.59,72,1.61,37.98
MT-001,Beaverhead County,15.19,4,-6.12,21.31
MT-003,Big Horn County,10.82,9,-4.72,15.54
MT-005,Blaine County,9.67,11,-3.95,13.62
MT-007,Broadwater County,10.28,3,-5.79,16.07
MT-009,Carbon County,12.1,5,-5.48,17.58
MT-011,Carter County,10.89,16,-3.41,14.3
MT-013,Cascade County,11.46,6,-5.76,17.22
MT-015,Chouteau County,9.54,5,-4.26,13.8
MT-017,Custer County,9.88,12,-3.71,13.59
MT-019,Daniels County,9.35,13,-3.91,13.26
MT-021,Dawson County,8.74,8,-4.49,13.23
MT-023,Deer Lodge County,15.7,4,-7.06,22.76
MT-025,Fallon County,9.63,8,-4.45,14.08
MT-027,Fergus County,10.01,3,-6.32,16.33
MT-029,Flathead County,30.71,20,-6.45,37.16
MT-031,Gallatin County,19.34,10,-4.95,24.29
MT-033,Garfield County,7.77,7,-4.93,12.7
MT-035,Glacier County,18.62,11,-6.8,25.42
MT-037,Golden Valley County,9.47,5,-4.59,14.06
MT-039,Granite County,17.87,8,-6.65,24.52
MT-041,Hill County,9.21,18,-2.72,11.93
MT-043,Jefferson County,10.98,4,-7.48,18.46
MT-045,Judith Basin County,12.04,2,-7.74,19.78
MT-047,Lake County,20.57,20,-4.4,24.97
MT-049,Lewis and Clark County,16.4,7,-6.54,22.94
MT-051,Liberty County,10.31,40,-1.37,11.68
MT-053,Lincoln County,29.24,31,-4.15,33.39
MT-055,McCone County,7.58,5,-5.2,12.78
MT-057,Madison County,19.22,18,-3.87,23.09
MT-059,Meagher County,14.04,3,-7.93,21.97
MT-061,Mineral County,31.15,20,-7.15,38.3
MT-063,Missoula County,23.62,13,-6.22,29.84
MT-065,Musselshell County,9.57,7,-4,13.57
MT-067,Park County,20.8,13,-5.42,26.22
MT-069,Petroleum County,7.97,3,-5.07,13.04
MT-071,Phillips County,8.05,7,-4.56,12.61
MT-073,Pondera County,12.27,13,-4.35,16.62
MT-075,Powder River County,10.41,11,-4.19,14.6
MT-077,Powell County,19.54,7,-7.16,26.7
MT-079,Prairie County,7.96,7,-4.79,12.75
MT-081,Ravalli County,22.63,13,-6.91,29.54
MT-083,Richland County,8,4,-5.64,13.64
MT-085,Roosevelt County,8.61,9,-4.35,12.96
MT-087,Rosebud County,9.06,8,-4.57,13.63
MT-089,Sanders County,27.9,30,-3.97,31.87
MT-091,Sheridan County,9.32,7,-4.48,13.8
MT-093,Silver Bow County,10.84,2,-7.82,18.66
MT-095,Stillwater County,12.33,5,-5.56,17.89
MT-097,Sweet Grass County,13.55,7,-5.18,18.73
MT-099,Teton County,12.73,9,-5.13,17.86
MT-101,Toole County,10.49,31,-1.94,12.43
MT-103,Treasure County,9.94,11,-3.58,13.52
MT-105,Valley County,7.14,3,-5.39,12.53
MT-107,Wheatland County,10.34,2,-5.62,15.96
MT-109,Wibaux County,9.79,9,-4.49,14.28
MT-111,Yellowstone County,10.05,9,-3.47,13.52
NE-001,Adams County,31.24,107,6.13,25.11
NE-003,Antelope County,27.04,80,2.36,24.68
NE-005,Arthur County,20.01,81,1.39,18.62
NE-007,Banner County,13.5,18,-3.68,17.18
NE-009,Blaine County,23.45,77,1.01,22.44
NE-011,Boone County,26.57,78,1.17,25.4
NE-013,Box Butte County,14.31,29,-2.56,16.87
NE-015,Boyd County,19.95,36,-2.8,22.75
NE-017,Brown County,22.81,68,0.16,22.65
NE-019,Buffalo County,27.63,94,3.46,24.17
NE-021,Burt County,34.81,104,6.27,28.54
NE-023,Butler County,35.83,110,7.83,28
NE-025,Cass County,35.27,98,5.01,30.26
NE-027,Cedar County,23.58,37,-2.46,26.04
NE-029,Chase County,16.63,41,-2.28,18.91
NE-031,Cherry County,21.28,80,1.18,20.1
NE-033,Cheyenne County,14.86,30,-2.81,17.67
NE-035,Clay County,29.03,84,2.75,26.28
NE-037,Colfax County,31.26,93,3.7,27.56
NE-039,Cuming County,32.38,99,4.62,27.76
NE-041,Custer County,22.42,56,-0.41,22.83
NE-043,Dakota County,24.8,48,-1.59,26.39
NE-045,Dawes County,13.65,18,-4.35,18
NE-047,Dawson County,24.12,85,1.77,22.35
NE-049,Deuel County,17.27,51,-1,18.27
NE-051,Dixon County,23.65,34,-2.76,26.41
NE-053,Dodge County,34.53,104,5.78,28.75
NE-055,Douglas County,37.13,109,7.58,29.55
NE-057,Dundy County,15.25,27,-3.44,18.69
NE-059,Fillmore County,28.8,78,1.12,27.68
NE-061,Franklin County,29.75,103,5.72,24.03
NE-063,Frontier County,22.39,77,1.16,21.23
NE-065,Furnas County,25.07,92,3.22,21.85
NE-067,Gage County,28.59,51,-1.41,30
NE-069,Garden County,16.42,49,-1.24,17.66
NE-071,Garfield County,23.88,75,1.34,22.54
NE-073,Gosper County,25.57,98,3.46,22.11
NE-075,Grant County,20.68,88,1.5,19.18
NE-077,Greeley County,26.87,90,2.75,24.12
NE-079,Hall County,29.86,104,5.08,24.78
NE-081,Hamilton County,31.39,103,5.5,25.89
NE-083,Harlan County,28.32,105,5.47,22.85
NE-085,Hayes County,16.08,18,-4.4,20.48
NE-087,Hitchcock County,14.58,13,-5.58,20.16
NE-089,Holt County,22.18,54,-0.75,22.93
NE-091,Hooker County,21.99,83,1.65,20.34
NE-093,Howard County,28.65,99,4.17,24.48
NE-095,Jefferson County,28.53,60,-0.19,28.72
NE-097,Johnson County,31.06,68,-0.48,31.54
NE-099,Kearney County,30.37,107,6.02,24.35
NE-101,Keith County,19.58,79,1.1,18.48
NE-103,Keya Paha County,21.13,56,-0.53,21.66
NE-105,Kimball County,13.5,24,-3.12,16.62
NE-107,Knox County,23.56,54,-1.04,24.6
NE-109,Lancaster County,31.88,83,2.81,29.07
NE-111,Lincoln County,21.52,74,0.91,20.61
NE-113,Logan County,21.48,67,0.19,21.29
NE-115,Loup County,19.83,32,-2.69,22.52
NE-117,McPherson County,20.66,76,0.75,19.91
NE-119,Madison County,29.21,92,2.93,26.28
NE-121,Merrick County,31.88,106,6.2,25.68
NE-123,Morrill County,13.48,23,-2.82,16.3
NE-125,Nance County,29.65,99,3.96,25.69
NE-127,Nemaha County,31.58,58,-1.57,33.15
NE-129,Nuckolls County,29.74,91,3.22,26.52
NE-131,Otoe County,33.72,84,2.64,31.08
NE-133,Pawnee County,30.17,59,-1.92,32.09
NE-135,Perkins County,17.42,51,-1.39,18.81
NE-137,Phelps County,28.77,106,5.69,23.08
NE-139,Pierce County,29.82,94,3.84,25.98
NE-141,Platte County,30.15,98,3.72,26.43
NE-143,Polk County,35.28,111,8.42,26.86
NE-145,Red Willow County,18.2,38,-2.35,20.55
NE-147,Richardson County,33.35,66,-0.32,33.67
NE-149,Rock County,21.7,53,-1.01,22.71
NE-151,Saline County,30.95,87,2.45,28.5
NE-153,Sarpy County,36.59,105,6.84,29.75
NE-155,Saunders County,35.34,103,6.21,29.13
NE-157,Scotts Bluff County,11.46,16,-3.96,15.42
NE-159,Seward County,32.53,92,4.11,28.42
NE-161,Sheridan County,17.93,62,-0.13,18.06
NE-163,Sherman County,24.9,75,1.2,23.7
NE-165,Sioux County,12.63,18,-3.78,16.41
NE-167,Stanton County,30.1,92,3.2,26.9
NE-169,Thayer County,28.15,72,0.67,27.48
NE-171,Thomas County,25.97,103,4.77,21.2
NE-173,Thurston County,28.67,76,1.33,27.34
NE-175,Valley County,24.46,73,1.05,23.41
NE-177,Washington County,36.86,111,7.72,29.14
NE-179,Wayne County,28.06,79,1.57,26.49
NE-181,Webster County,32.17,107,6.73,25.44
NE-183,Wheeler County,25.7,81,2.08,23.62
NE-185,York County,32.12,97,4.67,27.45
NV-001,Churchill County,6.49,62,-0.18,6.67
NV-003,Clark County,3.45,5,-4.06,7.51
NV-005,Douglas County,13.59,54,-2.42,16.01
NV-007,Elko County,12.28,41,-1.77,14.05
NV-009,Esmeralda County,3.91,27,-1.46,5.37
NV-011,Eureka County,11.25,66,-0.08,11.33
NV-013,Humboldt County,12.1,80,0.64,11.46
NV-015,Lander County,10.35,67,0.02,10.33
NV-017,Lincoln County,6.46,7,-4.05,10.51
NV-019,Lyon County,7.58,63,-0.67,8.25
NV-021,Mineral County,6.35,67,-0.22,6.57
NV-023,Nye County,5.44,15,-2.84,8.28
NV-027,Pershing County,10.24,95,1.6,8.64
NV-029,Storey County,9.48,38,-2.98,12.46
NV-031,Washoe County,10.58,47,-1.88,12.46
NV-033,White Pine County,10.82,35,-1.99,12.81
NV-510,Carson City,10.89,31,-4.26,15.15
NH-001,Belknap County,47.97,100,5.72,42.25
NH-003,Carroll County,45.97,54,-0.77,46.74
NH-005,Cheshire County,58.35,125,15.9,42.45
NH-007,Coos County,38.38,16,-5.48,43.86
NH-009,Grafton County,43,58,-0.71,43.71
NH-011,Hillsborough County,56.08,119,12.72,43.36
NH-013,Merrimack County,49.6,106,7.5,42.1
NH-015,Rockingham County,54.27,118,12,42.27
NH-017,Strafford County,52.1,108,8.08,44.02
NH-019,Sullivan County,49.32,108,7.98,41.34
NJ-001,Atlantic County,53.24,115,9.41,43.83
NJ-003,Bergen County,59.35,117,12.83,46.52
NJ-005,Burlington County,54.88,116,10.73,44.15
NJ-007,Camden County,53.25,110,9.46,43.79
NJ-009,Cape May County,50.38,104,7.5,42.88
NJ-011,Cumberland County,48.29,94,5.41,42.88
NJ-013,Essex County,60.9,118,13.46,47.44
NJ-015,Gloucester County,51.39,108,7.82,43.57
NJ-017,Hudson County,61.06,122,15.77,45.29
NJ-019,Hunterdon County,58.87,116,12.87,46
NJ-021,Mercer County,56.23,116,11.58,44.65
NJ-023,Middlesex County,57.25,117,11.95,45.3
NJ-025,Monmouth County,57.32,117,12.36,44.96
NJ-027,Morris County,58.12,111,9.54,48.58
NJ-029,Ocean County,56.86,121,12.41,44.45
NJ-031,Passaic County,54.07,95,6.51,47.56
NJ-033,Salem County,48.96,102,6.3,42.66
NJ-035,Somerset County,57.91,114,11.41,46.5
NJ-037,Sussex County,53.43,108,8.22,45.21
NJ-039,Union County,59.03,118,12.5,46.53
NJ-041,Warren County,60.73,119,14.59,46.14
NM-001,Bernalillo County,7.62,8,-4.37,11.99
NM-003,Catron County,14.22,49,-1.63,15.85
NM-005,Chaves County,14.18,69,0.32,13.86
NM-006,Cibola County,11.88,60,-1.2,13.08
NM-007,Colfax County,16.64,59,-0.3,16.94
NM-009,Curry County,15.93,60,-0.98,16.91
NM-011,De Baca County,13.9,69,-0.23,14.13
NM-013,Dona Ana County,7.52,33,-2.13,9.65
NM-015,Eddy County,14.5,83,1.32,13.18
NM-017,Grant County,15,65,-0.47,15.47
NM-019,Guadalupe County,13,49,-1.27,14.27
NM-021,Harding County,12.61,24,-3.17,15.78
NM-023,Hidalgo County,12.12,67,-0.46,12.58
NM-025,Lea County,13.8,56,-1.17,14.97
NM-027,Lincoln County,13.07,43,-1.52,14.59
NM-028,Los Alamos County,12.67,12,-5.88,18.55
NM-029,Luna County,9.43,53,-0.94,10.37
NM-031,McKinley County,9.97,34,-2.03,12
NM-033,Mora County,18.67,75,0.39,18.28
NM-035,Otero County,13.67,75,0.65,13.02
NM-037,Quay County,14.03,47,-2.3,16.33
NM-039,Rio Arriba County,13.74,29,-2.87,16.61
NM-041,Roosevelt County,16.66,77,0.44,16.22
NM-043,Sandoval County,8.74,7,-4.65,13.39
NM-045,San Juan County,7.02,19,-2.49,9.51
NM-047,San Miguel County,14.07,37,-2.39,16.46
NM-049,Santa Fe County,11.34,21,-3.37,14.71
NM-051,Sierra County,9.95,39,-1.8,11.75
NM-053,Socorro County,10.18,42,-1.43,11.61
NM-055,Taos County,17.84,73,0.05,17.79
NM-057,Torrance County,10.76,15,-3.68,14.44
NM-059,Union County,12.5,20,-3.83,16.33
NM-061,Valencia County,7.27,15,-3.04,10.31
NY-001,Albany County,48.09,119,10.79,37.3
NY-003,Allegany County,45.7,119,8.69,37.01
NY-005,Bronx County,57.08,118,12.02,45.06
NY-007,Broome County,53.71,125,14.81,38.9
NY-009,Cattaraugus County,46.99,97,4.38,42.61
NY-011,Cayuga County,48.2,123,11.2,37
NY-013,Chautauqua County,47.09,98,4.47,42.62
NY-015,Chemung County,47.45,124,12.75,34.7
NY-017,Chenango County,52.77,124,11.75,41.02
NY-019,Clinton County,33.25,47,-1.23,34.48
NY-021,Columbia County,52.71,122,12.22,40.49
NY-023,Cortland County,53.5,125,12.41,41.09
NY-025,Delaware County,50.6,110,7.98,42.62
NY-027,Dutchess County,51.52,107,7.95,43.57
NY-029,Erie County,42.81,99,4.55,38.26
NY-031,Essex County,44.69,94,3.73,40.96
NY-033,Franklin County,38.85,53,-0.17,39.02
NY-035,Fulton County,54.45,115,8.86,45.59
NY-037,Genesee County,40.91,117,6.92,33.99
NY-039,Greene County,54.22,120,11.4,42.82
NY-041,Hamilton County,54.13,114,7.3,46.83
NY-043,Herkimer County,54.28,118,7.4,46.88
NY-045,Jefferson County,45.68,112,6.9,38.78
NY-047,Kings County,58.71,120,14.26,44.45
NY-049,Lewis County,52.49,112,7.18,45.31
NY-051,Livingston County,40.34,119,7.94,32.4
NY-053,Madison County,49.89,119,9.5,40.39
NY-055,Monroe County,38.28,113,6.37,31.91
NY-057,Montgomery County,47.99,118,9.45,38.54
NY-059,Nassau County,51.71,103,7.16,44.55
NY-061,New York County,60.12,123,15.24,44.88
NY-063,Niagara County,36.04,97,3.78,32.26
NY-065,Oneida County,52.53,113,7.44,45.09
NY-067,Onondaga County,47.97,119,9.48,38.49
NY-069,Ontario County,41.61,122,9.23,32.38
NY-071,Orange County,52.07,108,8.44,43.63
NY-073,Orleans County,41.09,120,8.62,32.47
NY-075,Oswego County,47.1,99,5.03,42.07
NY-077,Otsego County,51.71,120,10.3,41.41
NY-079,Putnam County,50.62,85,3.9,46.72
NY-081,Queens County,56.08,116,11.82,44.26
NY-083,Rensselaer County,50.08,120,10.83,39.25
NY-085,Richmond County,59.9,120,14.32,45.58
NY-087,Rockland County,53.16,99,6.45,46.71
NY-089,St. Lawrence County,39.64,67,1.2,38.44
NY-091,Saratoga County,50.13,119,9.12,41.01
NY-093,Schenectady County,46.77,117,9.65,37.12
NY-095,Schoharie County,47.91,120,9.25,38.66
NY-097,Schuyler County,46.7,126,12.96,33.74
NY-099,Seneca County,43.77,125,10.34,33.43
NY-101,Steuben County,45.5,125,11.16,34.34
NY-103,Suffolk County,51.7,107,7.2,44.5
NY-105,Sullivan County,60.07,125,14.47,45.6
NY-107,Tioga County,51.05,125,14.1,36.95
NY-109,Tompkins County,49.95,125,13.33,36.62
NY-111,Ulster County,60.43,121,13.18,47.25
NY-113,Warren County,49.14,116,7.17,41.97
NY-115,Washington County,43.65,103,5.79,37.86
NY-117,Wayne County,37.37,94,3.23,34.14
NY-119,Westchester County,52.15,92,5.13,47.02
NY-121,Wyoming County,42.47,102,5.39,37.08
NY-123,Yates County,43.42,126,11.3,32.12
NC-001,Alamance County,49.21,89,4.08,45.13
NC-003,Alexander County,45.97,55,-1.29,47.26
NC-005,Alleghany County,56.26,90,5.36,50.9
NC-007,Anson County,42.77,48,-2.99,45.76
NC-009,Ashe County,54.3,89,3.47,50.83
NC-011,Avery County,57.96,81,3.16,54.8
NC-013,Beaufort County,60.79,113,9.09,51.7
NC-015,Bertie County,59.71,112,10.85,48.86
NC-017,Bladen County,51.83,92,3.73,48.1
NC-019,Brunswick County,56.96,91,4.98,51.98
NC-021,Buncombe County,53.47,96,5.45,48.02
NC-023,Burke County,50.02,59,-0.49,50.51
NC-025,Cabarrus County,45.18,65,-0.98,46.16
NC-027,Caldwell County,52.64,67,1.14,51.5
NC-029,Camden County,58.97,116,10.92,48.05
NC-031,Carteret County,62.74,100,7.42,55.32
NC-033,Caswell County,45.67,77,2.15,43.52
NC-035,Catawba County,46.15,56,-1.57,47.72
NC-037,Chatham County,49.07,89,2.88,46.19
NC-039,Cherokee County,70.85,113,11.3,59.55
NC-041,Chowan County,60.11,114,10.5,49.61
NC-043,Clay County,69.21,100,7.87,61.34
NC-045,Cleveland County,46.16,48,-3.09,49.25
NC-047,Columbus County,53.98,95,4.45,49.53
NC-049,Craven County,60.85,104,7.73,53.12
NC-051,Cumberland County,50.68,90,3.63,47.05
NC-053,Currituck County,56.67,111,9.05,47.62
NC-055,Dare County,56.83,101,5.77,51.06
NC-057,Davidson County,47.98,85,2.19,45.79
NC-059,Davie County,46.96,80,1.52,45.44
NC-061,Duplin County,57.33,102,6.78,50.55
NC-063,Durham County,50.23,99,5.71,44.52
NC-065,Edgecombe County,57.26,112,9.92,47.34
NC-067,Forsyth County,49.83,97,5.15,44.68
NC-069,Franklin County,52.3,103,6.36,45.94
NC-071,Gaston County,44.03,47,-3.5,47.53
NC-073,Gates County,60.9,117,12.51,48.39
NC-075,Graham County,70.87,104,7.32,63.55
NC-077,Granville County,51.75,102,7.08,44.67
NC-079,Greene County,62.91,120,14.05,48.86
NC-081,Guilford County,50.13,99,5.39,44.74
NC-083,Halifax County,55.57,112,9.66,45.91
NC-085,Harnett County,52.44,95,5.44,47
NC-087,Haywood County,63.82,108,8.69,55.13
NC-089,Henderson County,60.23,78,1.84,58.39
NC-091,Hertford County,58.26,113,9.92,48.34
NC-093,Hoke County,49.63,85,2.72,46.91
NC-095,Hyde County,61.36,106,8.89,52.47
NC-097,Iredell County,46.44,67,-0.35,46.79
NC-099,Jackson County,72.22,103,9.36,62.86
NC-101,Johnston County,56.94,111,9.9,47.04
NC-103,Jones County,59.31,99,6.61,52.7
NC-105,Lee County,50.05,89,3.64,46.41
NC-107,Lenoir County,61.59,114,11.42,50.17
NC-109,Lincoln County,44.58,47,-3.2,47.78
NC-111,McDowell County,58.68,81,3.65,55.03
NC-113,Macon County,71.92,101,8.44,63.48
NC-115,Madison County,51.49,101,5.75,45.74
NC-117,Martin County,60.79,115,11.8,48.99
NC-119,Mecklenburg County,41.82,40,-4.17,45.99
NC-121,Mitchell County,55.46,94,4.54,50.92
NC-123,Montgomery County,53.44,105,6.8,46.64
NC-125,Moore County,51.41,90,4.3,47.11
NC-127,Nash County,55.47,111,8.51,46.96
NC-129,New Hanover County,59.7,94,6.54,53.16
NC-131,Northampton County,56.12,113,9.89,46.23
NC-133,Onslow County,56.66,87,2.87,53.79
