Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-247,Rockdale County,50.87,64,0.62,50.25
GA-249,Schley County,58.45,111,9.45,49
GA-251,Screven County,54.74,111,8.19,46.55
GA-253,Seminole County,69.73,117,16.36,53.37
GA-255,Spalding County,48.81,55,-0.81,49.62
GA-257,Stephens County,59.66,89,4.01,55.65
GA-259,Stewart County,59.23,110,10.07,49.16
GA-261,Sumter County,57.55,109,8.97,48.58
GA-263,Talbot County,56.68,95,6.15,50.53
GA-265,Taliaferro County,50.5,92,2.66,47.84
GA-267,Tattnall County,60.88,119,13.43,47.45
GA-269,Taylor County,55.59,101,6.42,49.17
GA-271,Telfair County,63.36,122,15.99,47.37
GA-273,Terrell County,59.66,108,9.58,50.08
GA-275,Thomas County,69.81,120,16.75,53.06
GA-277,Tift County,65.91,122,17.74,48.17
GA-279,Toombs County,63.05,122,16.18,46.87
GA-281,Towns County,68.74,92,5.96,62.78
GA-283,Treutlen County,63.96,123,17.54,46.42
GA-285,Troup County,56.01,86,4.36,51.65
GA-287,Turner County,56.46,108,8.74,47.72
GA-289,Twiggs County,54.64,106,8.11,46.53
GA-291,Union County,68.73,96,7.97,60.76
GA-293,Upson County,53.09,86,3.07,50.02
GA-295,Walker County,64.58,110,10.83,53.75
GA-297,Walton County,52.82,74,2.46,50.36
GA-299,Ware County,55.52,100,6.39,49.13
GA-301,Warren County,50.17,88,2.87,47.3
GA-303,Washington County,49.73,94,3.49,46.24
GA-305,Wayne County,57.58,108,8.17,49.41
GA-307,Webster County,59.88,112,10.33,49.55
GA-309,Wheeler County,66.38,124,19.71,46.67
GA-311,White County,71.68,98,7.87,63.81
GA-313,Whitfield County,65.35,112,11.8,53.55
GA-315,Wilcox County,56.13,110,8.88,47.25
GA-317,Wilkes County,50.78,91,2.92,47.86
GA-319,Wilkinson County,52.23,102,6.02,46.21
GA-321,Worth County,57.63,111,9.29,48.34
ID-001,Ada County,12.32,60,-0.01,12.33
ID-003,Adams County,25.45,19,-6.99,32.44
ID-005,Bannock County,15.68,29,-3.83,19.51
ID-007,Bear Lake County,20.43,58,-1,21.43
ID-009,Benewah County,21.7,5,-9.63,31.33
ID-011,Bingham County,12.07,45,-1.43,13.5
ID-013,Blaine County,14.05,21,-4.76,18.81
ID-015,Boise County,26.4,35,-4.14,30.54
ID-017,Bonner County,28.51,15,-7.37,35.88
ID-019,Bonneville County,20.76,71,0.42,20.34
ID-021,Boundary County,31.28,18,-6.74,38.02
ID-023,Butte County,9.91,23,-3.68,13.59
ID-025,Camas County,19.52,33,-4.87,24.39
ID-027,Canyon County,8.92,52,-0.63,9.55
ID-029,Caribou County,21.27,52,-1.15,22.42
ID-031,Cassia County,12.56,27,-2.95,15.51
ID-033,Clark County,13.64,28,-3.47,17.11
ID-035,Clearwater County,34.59,10,-12.16,46.75
ID-037,Custer County,17.36,21,-5.21,22.57
ID-039,Elmore County,18.01,43,-2.15,20.16
ID-041,Franklin County,19.15,30,-3.9,23.05
ID-043,Fremont County,18.49,31,-3.2,21.69
ID-045,Gem County,17.52,47,-1.25,18.77
ID-047,Gooding County,9.05,36,-2.13,11.18
ID-049,Idaho County,29.64,16,-7.9,37.54
ID-051,Jefferson County,8.49,47,-1.2,9.69
ID-053,Jerome County,7.57,26,-2.15,9.72
ID-055,Kootenai County,24.39,8,-7.89,32.28
ID-057,Latah County,24.34,18,-6.22,30.56
ID-059,Lemhi County,15.88,9,-5.28,21.16
ID-061,Lewis County,17.62,4,-7.84,25.46
ID-063,Lincoln County,7.45,19,-3.07,10.52
ID-065,Madison County,14.23,59,-0.62,14.85
ID-067,Minidoka County,7.78,29,-1.95,9.73
ID-069,Nez Perce County,15.54,4,-6.42,21.96
ID-071,Oneida County,14.49,26,-4.04,18.53
ID-073,Owyhee County,10.31,29,-2.26,12.57
ID-075,Payette County,11.41,42,-1.37,12.78
ID-077,Power County,13,37,-2.9,15.9
ID-079,Shoshone County,38.34,15,-9.12,47.46
ID-081,Teton County,23.64,71,0.89,22.75
ID-083,Twin Falls County,9.62,22,-2.9,12.52
ID-085,Valley County,26.74,15,-9.39,36.13
ID-087,Washington County,18.36,42,-2.26,20.62
IL-001,Adams County,47.54,114,10.77,36.77
IL-003,Alexander County,44.49,64,-0.67,45.16
IL-005,Bond County,42.78,78,3.39,39.39
IL-007,Boone County,27.8,16,-6.25,34.05
IL-009,Brown County,47.96,116,11.24,36.72
IL-011,Bureau County,37.48,83,2.43,35.05
IL-013,Calhoun County,46.18,112,8.4,37.78
IL-015,Carroll County,30.54,30,-3.93,34.47
IL-017,Cass County,46.29,113,9.92,36.37
IL-019,Champaign County,45.48,118,8.94,36.54
IL-021,Christian County,48.42,119,11.54,36.88
IL-023,Clark County,47.71,110,7.98,39.73
IL-025,Clay County,51.25,112,10.86,40.39
IL-027,Clinton County,42.2,73,2.4,39.8
IL-029,Coles County,49.73,121,11.42,38.31
IL-031,Cook County,31.76,35,-2.68,34.44
IL-033,Crawford County,46.31,93,5.26,41.05
IL-035,Cumberland County,50.56,118,11.03,39.53
IL-037,DeKalb County,29.84,25,-4.77,34.61
IL-039,De Witt County,42.71,105,5.67,37.04
IL-041,Douglas County,45.34,115,7.95,37.39
IL-043,DuPage County,31.61,33,-2.87,34.48
IL-045,Edgar County,46.14,110,7.61,38.53
IL-047,Edwards County,48.92,93,6.02,42.9
IL-049,Effingham County,49.13,112,9.57,39.56
IL-051,Fayette County,47.47,112,8.53,38.94
IL-053,Ford County,47.04,121,11.31,35.73
IL-055,Franklin County,49.64,97,7.4,42.24
IL-057,Fulton County,44.92,116,9.49,35.43
IL-059,Gallatin County,42.69,50,-2.11,44.8
IL-061,Greene County,47.27,115,9.94,37.33
IL-063,Grundy County,36.69,78,2.74,33.95
IL-065,Hamilton County,47.27,83,4.6,42.67
IL-067,Hancock County,44.22,109,8.65,35.57
IL-069,Hardin County,45.19,61,-0.56,45.75
IL-071,Henderson County,42.01,106,6.81,35.2
IL-073,Henry County,42.58,107,7.67,34.91
IL-075,Iroquois County,43.11,112,6.82,36.29
IL-077,Jackson County,48.18,91,5.13,43.05
IL-079,Jasper County,49.16,110,8.81,40.35
IL-081,Jefferson County,48.04,98,6.11,41.93
IL-083,Jersey County,42.67,89,4.74,37.93
IL-085,Jo Daviess County,30.22,32,-3.66,33.88
IL-087,Johnson County,45.2,59,-0.74,45.94
IL-089,Kane County,30.19,25,-4.11,34.3
IL-091,Kankakee County,37.01,70,1.56,35.45
IL-093,Kendall County,33.28,51,-0.9,34.18
IL-095,Knox County,45.91,116,10.48,35.43
IL-097,Lake County,26.22,14,-6.92,33.14
IL-099,LaSalle County,35.24,70,1.07,34.17
IL-101,Lawrence County,49.47,100,7.06,42.41
IL-103,Lee County,31.75,35,-3.1,34.85
IL-105,Livingston County,42.19,110,7.56,34.63
IL-107,Logan County,42.93,110,6.76,36.17
IL-109,McDonough County,44.58,112,8.76,35.82
IL-111,McHenry County,27.2,13,-6.78,33.98
IL-113,McLean County,44.05,112,7.61,36.44
IL-115,Macon County,43.41,109,6.05,37.36
IL-117,Macoupin County,43.03,98,4.99,38.04
IL-119,Madison County,42.26,82,3.9,38.36
IL-121,Marion County,49.03,109,8.49,40.54
IL-123,Marshall County,40.71,105,6.05,34.66
IL-125,Mason County,45.01,116,10.11,34.9
IL-127,Massac County,47.21,67,0.09,47.12
IL-129,Menard County,45.29,115,9.73,35.56
IL-131,Mercer County,40.85,103,6.09,34.76
IL-133,Monroe County,40.13,64,0.49,39.64
IL-135,Montgomery County,44.19,105,6.37,37.82
IL-137,Morgan County,47.79,115,11.02,36.77
IL-139,Moultrie County,46.43,114,8.46,37.97
IL-141,Ogle County,27.58,15,-6.54,34.12
IL-143,Peoria County,45.18,115,10.1,35.08
IL-145,Perry County,47.71,102,6.51,41.2
IL-147,Piatt County,44.62,112,7.52,37.1
IL-149,Pike County,47.96,115,10.36,37.6
IL-151,Pope County,47.27,68,0.56,46.71
IL-153,Pulaski County,43.17,45,-2.54,45.71
IL-155,Putnam County,38.36,94,4.27,34.09
IL-157,Randolph County,45.25,94,4.52,40.73
IL-159,Richland County,49.54,104,8.29,41.25
IL-161,Rock Island County,36.44,73,1.67,34.77
IL-163,St. Clair County,38.34,55,-0.69,39.03
IL-165,Saline County,45.03,70,0.86,44.17
IL-167,Sangamon County,46.78,116,10.56,36.22
IL-169,Schuyler County,46.65,115,10.49,36.16
IL-171,Scott County,47.66,115,10.76,36.9
IL-173,Shelby County,49.98,119,11.49,38.49
IL-175,Stark County,45.71,118,10.76,34.95
IL-177,Stephenson County,29.13,25,-4.88,34.01
IL-179,Tazewell County,43.12,108,7.36,35.76
IL-181,Union County,45.59,67,0.53,45.06
IL-183,Vermilion County,46.45,119,9.42,37.03
IL-185,Wabash County,48.89,94,5.81,43.08
IL-187,Warren County,42.75,107,7.25,35.5
IL-189,Washington County,44.15,81,3.28,40.87
IL-191,Wayne County,48.91,101,6.85,42.06
IL-193,White County,45.22,70,1.95,43.27
IL-195,Whiteside County,31.85,40,-3.4,35.25
IL-197,Will County,36.62,71,1.29,35.33
IL-199,Williamson County,48.93,92,5.35,43.58
IL-201,Winnebago County,26.7,15,-7.07,33.77
IL-203,Woodford County,41.5,105,6.06,35.44
IN-001,Adams County,40.5,93,4.48,36.02
IN-003,Allen County,42.17,109,6.71,35.46
IN-005,Bartholomew County,50.02,109,8.65,41.37
IN-007,Benton County,42.29,101,4.91,37.38
IN-009,Blackford County,38.26,65,0.7,37.56
IN-011,Boone County,42.39,87,3.57,38.82
IN-013,Brown County,48.91,101,6.96,41.95
IN-015,Carroll County,42.46,95,4.64,37.82
IN-017,Cass County,43.05,103,5.22,37.83
IN-019,Clark County,52.14,106,8.87,43.27
IN-021,Clay County,44.61,91,3.95,40.66
IN-023,Clinton County,43.97,102,5.46,38.51
IN-025,Crawford County,52.11,99,6.75,45.36
IN-027,Daviess County,44.55,72,1.4,43.15
IN-029,Dearborn County,47.27,100,6.15,41.12
IN-031,Decatur County,47.86,100,6.19,41.67
IN-033,DeKalb County,42.56,114,7.51,35.05
IN-035,Delaware County,40.49,74,1.9,38.59
IN-037,Dubois County,50.07,94,5.76,44.31
IN-039,Elkhart County,39.21,98,3.96,35.25
IN-041,Fayette County,46.25,99,6.06,40.19
IN-043,Floyd County,52,100,8.43,43.57
IN-045,Fountain County,45.37,108,7.33,38.04
IN-047,Franklin County,45.46,94,4.81,40.65
IN-049,Fulton County,44.21,113,6.61,37.6
IN-051,Gibson County,46.04,77,2.72,43.32
IN-053,Grant County,41.59,86,3.84,37.75
IN-055,Greene County,45.98,81,3.19,42.79
IN-057,Hamilton County,44.1,97,5.95,38.15
IN-059,Hancock County,44.84,94,5.44,39.4
IN-061,Harrison County,52.61,102,8.05,44.56
IN-063,Hendricks County,45.71,102,6.15,39.56
IN-065,Henry County,43.07,81,3.27,39.8
IN-067,Howard County,43.71,103,5.97,37.74
IN-069,Huntington County,41.38,91,4.18,37.2
IN-071,Jackson County,48.82,98,6.37,42.45
IN-073,Jasper County,41.13,99,4.61,36.52
IN-075,Jay County,38.89,67,1.15,37.74
IN-077,Jefferson County,50.39,98,7.07,43.32
IN-079,Jennings County,47.29,86,4.56,42.73
IN-081,Johnson County,48.77,107,8.01,40.76
IN-083,Knox County,45.65,81,2.9,42.75
IN-085,Kosciusko County,41.66,106,5.32,36.34
IN-087,LaGrange County,39.52,101,4.53,34.99
IN-089,Lake County,38.2,81,2.17,36.03
IN-091,LaPorte County,39.27,82,2.14,37.13
IN-093,Lawrence County,48.71,90,4.67,44.04
IN-095,Madison County,44.12,99,5.6,38.52
IN-097,Marion County,46.25,108,7.05,39.2
IN-099,Marshall County,43.82,114,6.68,37.14
IN-101,Martin County,49.15,87,5.15,44
IN-103,Miami County,42.48,97,4.71,37.77
IN-105,Monroe County,47.05,83,4.13,42.92
IN-107,Montgomery County,41.52,80,2.76,38.76
IN-109,Morgan County,48.98,111,8.27,40.71
IN-111,Newton County,42.8,107,5.97,36.83
IN-113,Noble County,40.44,103,4.83,35.61
IN-115,Ohio County,49.53,105,7.93,41.6
IN-117,Orange County,52.04,98,7.09,44.95
IN-119,Owen County,48.34,100,6.33,42.01
IN-121,Parke County,42.44,85,3.54,38.9
IN-123,Perry County,49.44,84,3.98,45.46
IN-125,Pike County,44.95,70,1.29,43.66
IN-127,Porter County,38.16,75,1.65,36.51
IN-129,Posey County,41.12,45,-2.84,43.96
IN-131,Pulaski County,42.83,108,5.73,37.1
IN-133,Putnam County,44.83,91,4.33,40.5
IN-135,Randolph County,40.29,75,1.43,38.86
IN-137,Ripley County,47.2,91,4.76,42.44
IN-139,Rush County,46.37,101,5.86,40.51
IN-141,St. Joseph County,40.5,87,3.3,37.2
IN-143,Scott County,50.03,100,7.39,42.64
IN-145,Shelby County,48.14,107,7.45,40.69
IN-147,Spencer County,45.88,70,1.2,44.68
IN-149,Starke County,43.64,111,6.36,37.28
IN-151,Steuben County,41.71,110,6.68,35.03
IN-153,Sullivan County,44.71,86,3.68,41.03
IN-155,Switzerland County,49.79,102,7.46,42.33
IN-157,Tippecanoe County,43.91,102,5.89,38.02
IN-159,Tipton County,45.58,112,7.97,37.61
IN-161,Union County,45.1,92,4.82,40.28
IN-163,Vanderburgh County,40.37,37,-3.57,43.94
IN-165,Vermillion County,45.43,108,7.47,37.96
IN-167,Vigo County,44.14,96,4.49,39.65
IN-169,Wabash County,40.43,82,2.91,37.52
IN-171,Warren County,44.78,113,7.24,37.54
IN-173,Warrick County,43.75,58,-0.09,43.84
IN-175,Washington County,51.02,99,6.83,44.19
IN-177,Wayne County,41.81,77,2.22,39.59
IN-179,Wells County,40.67,89,3.91,36.76
IN-181,White County,41.21,93,4.37,36.84
IN-183,Whitley County,41.15,101,4.66,36.49
IA-001,Adair County,33.89,75,1.26,32.63
IA-003,Adams County,35.29,82,2.13,33.16
IA-005,Allamakee County,30.91,43,-1.87,32.78
IA-007,Appanoose County,44.33,113,9.15,35.18
IA-009,Audubon County,32.46,67,0.8,31.66
IA-011,Benton County,27.56,19,-5.63,33.19
IA-013,Black Hawk County,26.99,16,-6.42,33.41
IA-015,Boone County,28.66,43,-2.75,31.41
IA-017,Bremer County,30.96,43,-2.24,33.2
IA-019,Buchanan County,29.87,36,-3.28,33.15
IA-021,Buena Vista County,29.3,64,0.54,28.76
IA-023,Butler County,28.8,30,-3.98,32.78
IA-025,Calhoun County,30.48,62,-0.35,30.83
IA-027,Carroll County,29.28,48,-1.8,31.08
IA-029,Cass County,31.91,69,0.63,31.28
IA-031,Cedar County,32.47,42,-2.67,35.14
IA-033,Cerro Gordo County,31.01,59,-0.72,31.73
IA-035,Cherokee County,29.05,65,0.9,28.15
IA-037,Chickasaw County,35.76,87,3.36,32.4
IA-039,Clarke County,38.37,92,4.77,33.6
IA-041,Clay County,30.52,81,1.94,28.58
